Name,Feature,Full Address,Street,Municipality,Categories,Plus Code,Phones,Emails,Review Count,Average Rating,Review URL,Google Maps URL,Cid,Google Knowledge URL,Kgmid,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Place Id
Richmond Station,Chef-driven stop for seasonal dishes,"1 Richmond St W, Toronto, ON M5H 3W4",1 Richmond St W,Toronto,"Canadian restaurant, Eclectic restaurant, Restaurant",87M2MJ2C+H6,"(647) 748-1444, +1 647-748-1444","reservations@richmondstation.ca, ryan@richmondstation.ca",2434,4.7,"https://search.google.com/local/reviews?placeid=ChIJJZP2IzPL1IkRoIXM5dEE9ck&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=14552543070467687840,14552543070467687840,https://www.google.com/search?kgmid=/g/1hhxpgj5_&kponly,/g/1hhxpgj5_,43.651453599999996,-79.3794917,http://richmondstation.ca/,richmondstation.ca,"Saturday:[3:30-10:30p.m.], Sunday:[3:30-10:30p.m.], Monday:[4:30-10:30p.m.], Tuesday:[4:30-10:30p.m.], Wednesday:[4:30-10:30p.m.], Thursday:[4:30-10:30p.m.], Friday:[4:30-10:30p.m.]",https://lh5.googleusercontent.com/p/AF1QipOZU7tReTCcJQ6YiwZopift3g6Y6ojXdauBOz6B=w138-h92-k-no,ChIJJZP2IzPL1IkRoIXM5dEE9ck
Taste of Life Restaurant and Lounge,,"9 Milvan Dr Unit 5, North York, ON M9L 1Y9",9 Milvan Dr Unit 5,North York,Caribbean restaurant,87M2QC2X+C3,"(416) 745-1414, +1 416-745-1414",,24,4.5,"https://search.google.com/local/reviews?placeid=ChIJD84Ct28xK4gRAOySWKHoiJ0&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=11351578640460737536,11351578640460737536,https://www.google.com/search?kgmid=/g/11lj8s4srh&kponly,/g/11lj8s4srh,43.7511016,-79.5523138,https://tasteoflifetoronto.com/,tasteoflifetoronto.com,"Saturday:[7a.m.-2a.m.], Sunday:[5p.m.-12a.m.], Monday:[Closed], Tuesday:[7a.m.-11p.m.], Wednesday:[7a.m.-11p.m.], Thursday:[7a.m.-12a.m.], Friday:[7a.m.-2a.m.]",https://lh5.googleusercontent.com/p/AF1QipODX0Muuve3inKLjsyNpZFJA9sWDn57k7grQ11G=w189-h92-k-no,ChIJD84Ct28xK4gRAOySWKHoiJ0
Bocconcino Restaurant,Relaxed spot for homestyle Italian fare,"331 Trowers Rd, Vaughan, ON L4L 6A2",331 Trowers Rd,Vaughan,"Italian restaurant, Restaurant",87M2QCPV+74,"(905) 856-9239, +1 905-856-9239","franco@bocconcino.ca, radu@bocconcinilondon.ca",176,4.7,"https://search.google.com/local/reviews?placeid=ChIJ58AGrfUvK4gR7WDghtnSYgo&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=748392319809511661,748392319809511661,https://www.google.com/search?kgmid=/g/1tf_th9m&kponly,/g/1tf_th9m,43.785651099999995,-79.5572033,http://bocconcino.ca/,bocconcino.ca,"Saturday:[12-10p.m.], Sunday:[Closed], Monday:[Closed], Tuesday:[12-10p.m.], Wednesday:[12-10p.m.], Thursday:[12-10p.m.], Friday:[12-10p.m.]",https://lh5.googleusercontent.com/p/AF1QipMnKA-s55tDPeNxpUzxgWhzjBJfR1zGbCkcEhKe=w219-h92-k-no,ChIJ58AGrfUvK4gR7WDghtnSYgo
Angelo's Homestyle Restaurant,Comfy diner serving classic fare,"3300 Steeles Ave W Suite #1, Concord, ON L4K 2Y4",3300 Steeles Ave W Suite #1,Concord,"Restaurant, Breakfast restaurant, Diner",87M2QFFC+P5,"(905) 669-4884, +1 905-669-4884",,603,4.2,"https://search.google.com/local/reviews?placeid=ChIJ1ZyzrdsvK4gRVJpvxcnbsPo&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=18064179765030394452,18064179765030394452,https://www.google.com/search?kgmid=/g/1tgdjmmq&kponly,/g/1tgdjmmq,43.7743162,-79.529603,https://www.angeloshomestyle.com/,angeloshomestyle.com,"Saturday:[Closed], Sunday:[Closed], Monday:[10a.m.-3p.m.], Tuesday:[10a.m.-3p.m.], Wednesday:[10a.m.-3p.m.], Thursday:[10a.m.-3p.m.], Friday:[10a.m.-3p.m.]",https://lh5.googleusercontent.com/p/AF1QipOrEVsOh7I9mUpZ4sAG3lhCrSK4YL8XuHO714qS=w80-h142-k-no,ChIJ1ZyzrdsvK4gRVJpvxcnbsPo
De Place restaurant and bar inc,,"2400 Finch Ave W #1, North York, ON M9M 2E2",2400 Finch Ave W #1,North York,"Restaurant, African restaurant, Bar, Club",87M2QF22+FF,"(647) 748-7523, +1 647-748-7523",example@gmail.com,121,4.3,"https://search.google.com/local/reviews?placeid=ChIJl40AohIwK4gR_mKmh0FDGag&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=12112786621517423358,12112786621517423358,https://www.google.com/search?kgmid=/g/11cpfcqy8c&kponly,/g/11cpfcqy8c,43.7511277,-79.5487929,http://www.deplace.ca/,deplace.ca,"Saturday:[11a.m.-2a.m.], Sunday:[6p.m.-2a.m.], Monday:[Closed], Tuesday:[11a.m.-11p.m.], Wednesday:[11a.m.-11p.m.], Thursday:[11a.m.-2a.m.], Friday:[11a.m.-2a.m.]",https://lh5.googleusercontent.com/p/AF1QipMx92iHQgvYcYq2sxIDFQCbC9iUTJEG0A-EgsKf=w122-h92-k-no,ChIJl40AohIwK4gR_mKmh0FDGag
Aldo's Restaurant,,"750 Oakdale Rd, North York, ON M3N 2Z4",750 Oakdale Rd,North York,"Peruvian restaurant, Restaurant",87M2QF2F+M6,"(416) 741-5914, +1 416-741-5914","Aldosofvillageshires@gmail.com, aldos1752@aol.com, info@aldos-ristorante.com",276,4.2,"https://search.google.com/local/reviews?placeid=ChIJt-E74TkwK4gRIFPgYJ2Bn7c&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=13231436743172969248,13231436743172969248,https://www.google.com/search?kgmid=/g/11cmrrmy24&kponly,/g/11cmrrmy24,43.751731899999996,-79.5269531,http://aldosrestaurant.com/,aldosrestaurant.com,"Saturday:[12p.m.-1a.m.], Sunday:[12-7:30p.m.], Monday:[Closed], Tuesday:[12-7:30p.m.], Wednesday:[12-7:30p.m.], Thursday:[12-7:30p.m.], Friday:[12p.m.-1a.m.]",https://lh5.googleusercontent.com/p/AF1QipNFJwO745Wk4iJxY3AgiLFmCg7Xv8aApWV57Iyb=w122-h92-k-no,ChIJt-E74TkwK4gRIFPgYJ2Bn7c
Garden Of Eden Sport Bar & Restaurant Ltd.,,"4801 Steeles Ave W, North York, ON M9L 2W1",4801 Steeles Ave W,North York,"Restaurant, Sports bar",87M2QFC5+7C,"(416) 743-4333, +1 416-743-4333",,32,4.4,"https://search.google.com/local/reviews?placeid=ChIJUa8uEOEvK4gRozGUZzz1P9I&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=15150097311282246051,15150097311282246051,https://www.google.com/search?kgmid=/g/1hc2050yy&kponly,/g/1hc2050yy,43.7706478,-79.54140989999999,,,"Saturday:[3p.m.-2a.m.], Sunday:[3p.m.-2a.m.], Monday:[3p.m.-2a.m.], Tuesday:[3p.m.-2a.m.], Wednesday:[3p.m.-2a.m.], Thursday:[3p.m.-2a.m.], Friday:[3p.m.-2a.m.]",https://lh5.googleusercontent.com/p/AF1QipOdacgr1gnfeHY0rphkaGnONpkyjHakjm_iYWkc=w138-h92-k-no,ChIJUa8uEOEvK4gRozGUZzz1P9I
Giulietta,Sharing plates served in a sleek space,"972 College St, Toronto, ON M6H 1A5",972 College St,Toronto,"Italian restaurant, Restaurant",87M2MH3C+CW,"(416) 964-0606, +1 416-964-0606","info@giu.ca, jane_doe@GIU.ca, info@osteriagiulia.ca",716,4.6,"https://search.google.com/local/reviews?placeid=ChIJx70ycC7L1IkRfhWzG3mc6O0&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=17143124025555490174,17143124025555490174,https://www.google.com/search?kgmid=/g/11f5hk_g6y&kponly,/g/11f5hk_g6y,43.6535192,-79.4276727,http://giu.ca/,giu.ca,"Saturday:[5-10p.m.], Sunday:[Closed], Monday:[5-10p.m.], Tuesday:[5-10p.m.], Wednesday:[5-10p.m.], Thursday:[5-10p.m.], Friday:[5-10p.m.]",https://lh5.googleusercontent.com/p/AF1QipO1S_cfrMl0dT1i9C0FpKC-Oj-HIWfB9N_ClCWc=w122-h92-k-no,ChIJx70ycC7L1IkRfhWzG3mc6O0
San Francisco Cafe,,"4140 Steeles Ave W, Woodbridge, ON L4L 4V3",4140 Steeles Ave W,Woodbridge,Italian restaurant,87M2QC9V+GC,"(905) 851-1233, +1 905-851-1233",info@sanfrancafe.ca,141,4.6,"https://search.google.com/local/reviews?placeid=ChIJmx9kyAEwK4gReUz9NszVx60&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=12522212361999567993,12522212361999567993,https://www.google.com/search?kgmid=/g/11g6mfgtdv&kponly,/g/11g6mfgtdv,43.7687569,-79.55648819999999,http://mamassanfran.com/,mamassanfran.com,"Saturday:[10a.m.-7p.m.], Sunday:[Closed], Monday:[10a.m.-7p.m.], Tuesday:[10a.m.-7p.m.], Wednesday:[10a.m.-7p.m.], Thursday:[10a.m.-7p.m.], Friday:[10a.m.-7p.m.]",https://lh5.googleusercontent.com/p/AF1QipMxKWGG3do6sqfa4_Gw11wsoGQ3HeXSnjXnf6ug=w80-h142-k-no,ChIJmx9kyAEwK4gReUz9NszVx60
Peppers Caribbean Restaurant,,"3027 Islington Ave, North York, ON M9L 2K9",3027 Islington Ave,North York,"Jamaican restaurant, Caribbean restaurant",87M2QC5H+XH,"(416) 789-4626, +1 416-789-4626",,241,4.6,"https://search.google.com/local/reviews?placeid=ChIJ83BeLaU6K4gRXo_WVUX8uEY&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=5096100353092783966,5096100353092783966,https://www.google.com/search?kgmid=/g/11bx8s430y&kponly,/g/11bx8s430y,43.759899499999996,-79.5710733,,,"Saturday:[10a.m.-9p.m.], Sunday:[10a.m.-9p.m.], Monday:[10a.m.-9p.m.], Tuesday:[10a.m.-9p.m.], Wednesday:[10a.m.-9p.m.], Thursday:[10a.m.-9p.m.], Friday:[10a.m.-9p.m.]",https://lh5.googleusercontent.com/p/AF1QipNzZzMdpxcV80z7er3oSIRaWjF1ktZMx_AqJJeT=w80-h106-k-no,ChIJ83BeLaU6K4gRXo_WVUX8uEY
Element Lounge and Restaurant,,"50 Norfinch Dr, North York, ON M3N 1X1",50 Norfinch Dr,North York,Restaurant,87M2QF4C+RM,"(416) 663-9502, +1 416-663-9502",,107,3.7,"https://search.google.com/local/reviews?placeid=ChIJe-NrzzowK4gRG0cskC7MCwQ&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=291551101254911771,291551101254911771,https://www.google.com/search?kgmid=/g/11cn7k2fb2&kponly,/g/11cn7k2fb2,43.7571022,-79.5283122,,,"Saturday:[7a.m.-1p.m.], Sunday:[7a.m.-1p.m.], Monday:[7a.m.-1p.m.], Tuesday:[7a.m.-1p.m.], Wednesday:[7a.m.-1p.m.], Thursday:[7a.m.-1p.m.], Friday:[7a.m.-1p.m.]",https://lh5.googleusercontent.com/p/AF1QipOaWe-srlG0r07bDqcqBisJW3dZb1hftSAuCOg5=w163-h92-k-no,ChIJe-NrzzowK4gRG0cskC7MCwQ
Sofra Istanbul,Stop for Turkish & Mediterranean fare,"3330 Steeles Ave W Unit 10, Vaughan, ON L4K 1A2",3330 Steeles Ave W Unit 10,Vaughan,"Turkish restaurant, Halal restaurant, Mediterranean restaurant",87M2QFF9+HF,"(905) 532-0054, +1 905-532-0054",info@sofraistanbul.com,1761,4.4,"https://search.google.com/local/reviews?placeid=ChIJmWatutsvK4gRRpHO-d8e1zw&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=4384006709586071878,4384006709586071878,https://www.google.com/search?kgmid=/g/1ttphj8c&kponly,/g/1ttphj8c,43.7739634,-79.5313068,https://sofraistanbul.com/,sofraistanbul.com,"Saturday:[10a.m.-10p.m.], Sunday:[10a.m.-10p.m.], Monday:[10a.m.-10p.m.], Tuesday:[10a.m.-10p.m.], Wednesday:[10a.m.-10p.m.], Thursday:[10a.m.-10p.m.], Friday:[10a.m.-10p.m.]",https://lh5.googleusercontent.com/p/AF1QipP5HM9kjMBnUE2NtjKZ707871oLoDyVQpzShqBe=w122-h92-k-no,ChIJmWatutsvK4gRRpHO-d8e1zw
Sandra’s Italian Kitchen,,"2899 Steeles Ave W Unit 12, North York, ON M3J 3A1",2899 Steeles Ave W Unit 12,North York,"Italian restaurant, Caterer, Halal restaurant, Italian grocery store, Takeout Restaurant",87M2QGJ5+QC,"(416) 665-1999, +1 416-665-1999","Sandrasitaliankitchen@gmail.com, sandracavicchia@ymail.com, Sandracavicchia@ymail.com",372,4.7,"https://search.google.com/local/reviews?placeid=ChIJbScvuhA2V0ARzA76gNijLRk&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=1814286375172312780,1814286375172312780,https://www.google.com/search?kgmid=/g/1txy2zpf&kponly,/g/1txy2zpf,43.781911699999995,-79.49140059999999,https://sandrasitaliankitchen.com/,sandrasitaliankitchen.com,"Saturday:[1-8p.m.], Sunday:[12-4p.m.], Monday:[Closed], Tuesday:[11a.m.-7:30p.m.], Wednesday:[11a.m.-7:45p.m.], Thursday:[11a.m.-8p.m.], Friday:[11a.m.-8p.m.]",https://lh5.googleusercontent.com/p/AF1QipPnwD7pjv6nlmKoWIz_kJiHCmkxhIbn7qcmx74N=w138-h92-k-no,ChIJbScvuhA2V0ARzA76gNijLRk
Oca Nera Fine Italian Cuisine,Warm space for traditional dishes & wine,"8348 Islington Ave, Woodbridge, ON L4L 1W8",8348 Islington Ave,Woodbridge,Italian restaurant,87M2QCW7+HR,"(905) 264-7152, +1 905-264-7152",ocanera@rogers.com,205,4.6,"https://search.google.com/local/reviews?placeid=ChIJ-fYmbRMlK4gRPbMHJ1S3G_M&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=17517796747647628093,17517796747647628093,https://www.google.com/search?kgmid=/g/1wg5ymws&kponly,/g/1wg5ymws,43.7964741,-79.5854694,http://www.ocanerarestaurant.com/,ocanerarestaurant.com,"Saturday:[5-10p.m.], Sunday:[Closed], Monday:[Closed], Tuesday:[12-3p.m.], Wednesday:[12-3p.m.], Thursday:[12-3p.m.], Friday:[12-3p.m.]",https://lh5.googleusercontent.com/p/AF1QipPiNL9Jw-9KRC0I3lEZuKIPn4wQJDK-n2kU1dxf=w122-h92-k-no,ChIJ-fYmbRMlK4gRPbMHJ1S3G_M
Scaramouche Restaurant,Elegant French spot plus a casual bistro,"1 Benvenuto Pl, Toronto, ON M4V 2L1",1 Benvenuto Pl,Toronto,"Modern French restaurant, French restaurant, Haute French restaurant, Restaurant",87M2MJJ2+J2,"(416) 961-8011, +1 416-961-8011",scaramouche@rogers.com,1080,4.7,"https://search.google.com/local/reviews?placeid=ChIJrxCATO8zK4gRHe57JQWul2Q&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=7248453462403051037,7248453462403051037,https://www.google.com/search?kgmid=/m/052qxj1&kponly,/m/052qxj1,43.6815007,-79.3999041,http://www.scaramoucherestaurant.com/,scaramoucherestaurant.com,"Saturday:[5-9p.m.], Sunday:[Closed], Monday:[Closed], Tuesday:[5-9p.m.], Wednesday:[5-9p.m.], Thursday:[5-9p.m.], Friday:[5-9p.m.]",https://lh5.googleusercontent.com/p/AF1QipP31pXDGFrl8YqKDVp7MwkaML4VSh40QIXS4H1p=w138-h92-k-no,ChIJrxCATO8zK4gRHe57JQWul2Q
